"KrS","Kreis","Twitter"
5334,"Aachen",
7131,"Ahrweiler","KreisAhrweiler"
9771,"Aichach-Friedberg",
8425,"Alb-Donau-Kreis",
16077,"Altenburger Land",
7132,"Altenkirchen",
15081,"Altmarkkreis Salzwedel",
9171,"Altötting",
7331,"Alzey-Worms",
9371,"Amberg-Sulzbach",
3451,"Ammerland",
15082,"Anhalt-Bitterfeld",
9571,"Ansbach",
9671,"Aschaffenburg",
9772,"Augsburg",
3452,"Aurich","LandkreisAurich"
7332,"Bad Dürkheim",
9672,"Bad Kissingen",
7133,"Bad Kreuznach",
9173,"Bad Tölz-Wolfratshausen",
9471,"Bamberg","Kreis_Bamberg"
12060,"Barnim","LkBarnim"
14625,"Bautzen","LandkreisBZ"
9472,"Bayreuth","Landratsamt_BT"
9172,"Berchtesgadener Land",
6431,"Bergstraße",
7231,"Bernkastel-Wittlich",
8426,"Biberach",
7134,"Birkenfeld",
8115,"Böblingen",
8435,"Bodenseekreis",
15083,"Börde",
5554,"Borken","akutkreisborken"
8315,"Breisgau-Hochschwarzwald","Landkreis_BH"
15084,"Burgenlandkreis",
8235,"Calw",
3351,"Celle",
9372,"Cham",
3453,"Cloppenburg",
9473,"Coburg",
7135,"Cochem-Zell",
5558,"Coesfeld",
3352,"Cuxhaven",
9174,"Dachau","LRA_Dachau"
12061,"Dahme-Spreewald",
6432,"Darmstadt-Dieburg","zuhauseimladadi"
9271,"Deggendorf",
3251,"Diepholz",
9773,"Dillingen an der Donau",
9279,"Dingolfing-Landau",
1051,"Dithmarschen",
9779,"Donau-Ries",
7333,"Donnersbergkreis",
5358,"Düren",
9175,"Ebersberg","KreisEbersberg"
16061,"Eichsfeld",
9176,"Eichstätt",
7232,"Eifelkreis Bitburg-Prüm",
12062,"Elbe-Elster","lkee_de"
8316,"Emmendingen",
3454,"Emsland",
5954,"Ennepe-Ruhr-Kreis",
8236,"Enzkreis",
9177,"Erding",
9572,"Erlangen-Höchstadt","LRA_ERH"
14521,"Erzgebirgskreis",
8116,"Esslingen","LandkreisES"
5366,"Euskirchen","KV_Euskirchen"
9474,"Forchheim",
9178,"Freising",
8237,"Freudenstadt",
9272,"Freyung-Grafenau",
3455,"Friesland","LandkreisFRI"
6631,"Fulda",
9179,"Fürstenfeldbruck",
9573,"Fürth",
9180,"Garmisch-Partenkirchen",
7334,"Germersheim",
6531,"Gießen",
3151,"Gifhorn",
8117,"Göppingen",
14626,"Görlitz","LK_GR"
3153,"Goslar",
16067,"Gotha","LandkreisGotha"
3159,"Göttingen",
3456,"Grafschaft Bentheim",
16076,"Greiz",
6433,"Groß-Gerau",
9774,"Günzburg",
5754,"Gütersloh",
3252,"Hameln-Pyrmont","LandkreisP"
3241,"Hannover, Region",
3353,"Harburg","LKreis_Harburg"
15085,"Harz",
9674,"Haßberge",
12063,"Havelland",
3358,"Heidekreis",
8135,"Heidenheim",
8125,"Heilbronn",
5370,"Heinsberg","kreisheinsberg"
3154,"Helmstedt","helmstedt"
5758,"Herford",
6632,"Hersfeld-Rotenburg",
1053,"Herzogtum Lauenburg",
16069,"Hildburghausen",
3254,"Hildesheim",
5958,"Hochsauerlandkreis",
6434,"Hochtaunuskreis",
9475,"Hof",
8126,"Hohenlohekreis",
3255,"Holzminden",
5762,"Höxter","Kreis_Hoexter"
16070,"Ilm-Kreis",
15086,"Jerichower Land",
7335,"Kaiserslautern",
8215,"Karlsruhe","KreisKarlsruhe"
6633,"Kassel",
9273,"Kelheim","Landkreis_KEH"
9675,"Kitzingen",
5154,"Kleve",
8335,"Konstanz",
9476,"Kronach",
9477,"Kulmbach","LKR_KU"
7336,"Kusel",
16065,"Kyffhäuserkreis",
6532,"Lahn-Dill-Kreis",
9181,"Landsberg am Lech",
9274,"Landshut",
3457,"Leer","Landkreis_Leer"
14729,"Leipzig","KreisLeipzig"
9478,"Lichtenfels",
6533,"Limburg-Weilburg",
9776,"Lindau ",
5766,"Lippe","Kreis_Lippe"
8336,"Lörrach",
3354,"Lüchow-Dannenberg",
8118,"Ludwigsburg",
13076,"Ludwigslust-Parchim",
3355,"Lüneburg","lk_lueneburg"
6435,"Main-Kinzig-Kreis","MainKinzigKreis"
9677,"Main-Spessart",
8128,"Main-Tauber-Kreis",
6436,"Main-Taunus-Kreis",
7339,"Mainz-Bingen",
15087,"Mansfeld-Südharz",
6534,"Marburg-Biedenkopf",
5962,"Märkischer Kreis",
12064,"Märkisch-Oderland",
7137,"Mayen-Koblenz","KreisMyk"
13071,"Mecklenburgische Seenplatte",
14627,"Meißen",
10042,"Merzig-Wadern","MerzigWadern"
5158,"Mettmann","KreisMettmann"
9182,"Miesbach",
9676,"Miltenberg",
5770,"Minden-Lübbecke",
14522,"Mittelsachsen",
9183,"Mühldorf am Inn",
9184,"München",
8225,"Neckar-Odenwald-Kreis",
9775,"Neu-Ulm",
9185,"Neuburg-Schrobenhausen",
9373,"Neumarkt in der Oberpfalz",
10043,"Neunkirchen",
9575,"Neustadt an der Aisch-Bad Windsheim",
9374,"Neustadt an der Waldnaab",
7138,"Neuwied",
3256,"Nienburg/Weser",
1054,"Nordfriesland",
16062,"Nordhausen","LandkreisN"
14730,"Nordsachsen",
13074,"Nordwestmecklenburg",
3155,"Northeim","LKNortheim"
9574,"Nürnberger Land",
9780,"Oberallgäu",
5374,"Oberbergischer Kreis","OBK_Verwaltung"
12065,"Oberhavel",
12066,"Oberspreewald-Lausitz",
6437,"Odenwaldkreis",
12067,"Oder-Spree","kreisoderspree"
6438,"Offenbach","KVOffenbach"
3458,"Oldenburg",
5966,"Olpe",
8317,"Ortenaukreis","ortenaukreis"
3459,"Osnabrück",
8136,"Ostalbkreis",
9777,"Ostallgäu",
3356,"Osterholz","Landkreis_OHZ"
1055,"Ostholstein",
12068,"Ostprignitz-Ruppin",
5774,"Paderborn","KreisPaderborn"
9275,"Passau",
3157,"Peine","LandkreisPeine"
9186,"Pfaffenhofen an der Ilm",
1056,"Pinneberg",
1057,"Plön",
12069,"Potsdam-Mittelmark",
12070,"Prignitz","lkprignitz"
8216,"Rastatt",
8436,"Ravensburg",
5562,"Recklinghausen","kreis_re"
9276,"Regen",
9375,"Regensburg","LandkreisR"
8119,"Rems-Murr-Kreis",
1058,"Rendsburg-Eckernförde",
8415,"Reutlingen",
5362,"Rhein-Erft-Kreis","rek_landrat"
6439,"Rheingau-Taunus-Kreis",
7140,"Rhein-Hunsrück-Kreis",
5378,"Rheinisch-Bergischer Kreis",
5162,"Rhein-Kreis Neuss","rheinkreisneuss"
7141,"Rhein-Lahn-Kreis",
8226,"Rhein-Neckar-Kreis","presse_rnk"
7338,"Rhein-Pfalz-Kreis","RheinPfalzKreis"
5382,"Rhein-Sieg-Kreis","RheinSiegKreis"
9673,"Rhön-Grabfeld",
9187,"Rosenheim","Kreis_Rosenheim"
13072,"Rostock","kreis_rostock"
3357,"Rotenburg",
9576,"Roth","LandkreisRoth"
9277,"Rottal-Inn","Rottal_Inn"
8325,"Rottweil",
16074,"Saale-Holzland-Kreis",
15088,"Saalekreis",
16075,"Saale-Orla-Kreis",
16073,"Saalfeld-Rudolstadt",
10041,"Saarbrücken, Regionalverband",
10044,"Saarlouis",
10045,"Saarpfalz-Kreis",
14628,"Sächsische Schweiz-Osterzgebirge",
15089,"Salzlandkreis",
3257,"Schaumburg","LKSchaumburg"
1059,"Schleswig-Flensburg",
16066,"Schmalkalden-Meiningen",
6634,"Schwalm-Eder-Kreis",
9376,"Schwandorf",
8326,"Schwarzwald-Baar-Kreis",
8127,"Schwäbisch Hall",
9678,"Schweinfurt",
1060,"Segeberg",
5970,"Siegen-Wittgenstein","Kreis_SiWi"
8437,"Sigmaringen",
5974,"Soest","KreisSoest"
16068,"Sömmerda",
16072,"Sonneberg",
12071,"Spree-Neiße",
10046,"St. Wendel",
3359,"Stade","lkstade"
9188,"Starnberg",
1061,"Steinburg",
5566,"Steinfurt","Kreis_Steinfurt"
15090,"Stendal","landkreisSDL"
1062,"Stormarn","Kreis_Stormarn"
9278,"Straubing-Bogen",
7337,"Südliche Weinstraße",
7340,"Südwestpfalz",
12072,"Teltow-Fläming",
9377,"Tirschenreuth","LandkreisTIR"
9189,"Traunstein",
7235,"Trier-Saarburg",
8416,"Tübingen",
8327,"Tuttlingen",
12073,"Uckermark",
3360,"Uelzen","Lk_Uelzen"
5978,"Unna","kreis_UN "
16064,"Unstrut-Hainich-Kreis","UHKreis"
9778,"Unterallgäu",
3460,"Vechta",
3361,"Verden",
5166,"Viersen","kreisviersen"
6535,"Vogelsbergkreis","vogelsbergkreis"
14523,"Vogtlandkreis",
13075,"Vorpommern-Greifswald",
13073,"Vorpommern-Rügen",
7233,"Vulkaneifel",
6635,"Waldeck-Frankenberg",
8337,"Waldshut",
5570,"Warendorf",
16063,"Wartburgkreis",
9190,"Weilheim-Schongau",
16071,"Weimarer Land",
9577,"Weißenburg-Gunzenhausen",
6636,"Werra-Meißner-Kreis",
5170,"Wesel",
3461,"Wesermarsch",
7143,"Westerwaldkreis",
6440,"Wetteraukreis",
15091,"Wittenberg",
3462,"Wittmund",
3158,"Wolfenbüttel",
9479,"Wunsiedel im Fichtelgebirge",
9679,"Würzburg",
8417,"Zollernalbkreis",
14524,"Zwickau",
